Incidence, US by County, All Races, All Cancer Sites (Both Sexes), 2013 - 2017
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Union, Florida","12125","1143.5","1072.7","1218.0","1065"
"Logan, Nebraska","31113","739.4","500.0","1056.3","35"
"Greer, Oklahoma","40055","710.4","624.4","805.3","259"
"Powell, Kentucky","21197","648.2","588.6","712.4","464"
"Sherman, Nebraska","31163","629.5","517.1","760.8","142"
"Palo Alto, Iowa","19147","627.2","562.2","698.0","392"
"Kingsbury, South Dakota","46077","621.5","538.6","714.8","235"
"Yukon-Koyukuk, Alaska","2290","612.8","522.5","714.4","183"
"Estill, Kentucky","21065","610.1","559.1","664.8","566"
"Floyd, Kentucky","21071","609.8","577.5","643.4","1440"
"Taylor, Kentucky","21217","608.8","569.6","650.0","963"
"Prairie, Montana","30079","606.6","445.5","817.1","61"
"Woodruff, Arkansas","5147","603.9","532.4","683.2","294"
"Golden Valley, Montana","30037","603.3","412.1","865.3","40"
"Lee, Kentucky","21129","603.2","531.5","682.6","277"
"Perry, Kentucky","21193","603.1","565.4","642.7","1020"
"Breathitt, Kentucky","21025","595.6","542.6","652.6","499"
"Lawrence, Kentucky","21127","594.6","546.0","646.6","593"
"Pickens, Georgia","13227","584.3","551.0","619.3","1294"
"Carter, Kentucky","21043","583.4","546.8","621.9","1009"
"Towns, Georgia","13281","582.8","528.4","642.1","613"
"Monroe, Kentucky","21171","581.1","524.5","642.6","415"
"Polk, Texas","48373","580.0","552.7","608.5","1882"
"Owsley, Kentucky","21189","579.8","494.3","677.0","177"
"Carroll, Kentucky","21041","576.0","516.5","640.7","361"
"Nicholas, Kentucky","21181","575.5","505.8","652.7","259"
"Mingo, West Virginia","54059","575.4","537.3","615.7","922"
"Knox, Kentucky","21121","574.5","540.5","610.3","1114"
"Bath, Kentucky","21011","569.8","516.1","627.9","434"
"Miner, South Dakota","46097","565.3","447.8","707.1","95"
"McLean, Kentucky","21149","564.8","506.0","629.1","356"
"Russell, Kentucky","21207","564.8","521.5","611.0","679"
"Cape May, New Jersey","34009","564.6","546.7","583.1","4406"
"Bracken, Kentucky","21023","564.5","500.7","634.6","299"
"Fleming, Kentucky","21069","564.3","515.3","617.0","519"
"Lewis, Kentucky","21135","563.7","514.4","616.8","510"
"Mercer, Kentucky","21167","562.9","523.3","604.8","808"
"Cerro Gordo, Iowa","19033","562.9","535.5","591.5","1758"
"Pike, Kentucky","21195","562.7","538.7","587.5","2218"
"Lincoln, Kentucky","21137","561.5","524.0","601.1","880"
"Grundy, Illinois","17063","559.8","531.3","589.4","1508"
"Clay, Kentucky","21051","559.1","516.6","604.2","675"
"Johnson, Kentucky","21115","559.1","520.4","600.2","823"
"Warren, New York","36113","558.7","536.5","581.6","2640"
"Nassau, Florida","12089","557.5","537.2","578.5","3158"
"Petersburg, Virginia","51730","556.8","523.5","591.7","1125"
"Logan, Illinois","17107","556.4","522.6","591.9","1059"
"Lee, Georgia","13177","556.2","516.7","598.0","810"
"Logan, West Virginia","54045","556.0","524.9","588.5","1311"
"Catahoula, Louisiana","22025","554.9","496.9","618.0","352"
"Holmes, Mississippi","28051","554.6","508.1","604.3","553"
"Rockcastle, Kentucky","21203","554.5","509.1","603.1","588"
"Vilas, Wisconsin","55125","554.3","519.0","591.9","1158"
"Salem, New Jersey","34033","554.1","531.0","578.1","2311"
"Lowndes, Alabama","1085","553.9","497.6","615.2","381"
"Clay, Arkansas","5021","553.7","508.1","602.6","597"
"Renville, North Dakota","38075","553.7","441.1","687.9","92"
"Niagara, New York","36063","552.5","539.9","565.3","7895"
"Grayson, Kentucky","21085","552.0","515.7","590.5","910"
"Christian, Illinois","17021","551.7","521.1","583.9","1280"
"Jefferson, New York","36045","551.5","532.0","571.5","3141"
"Marion, Kentucky","21155","551.3","508.3","597.1","637"
"Lawrence, Arkansas","5075","551.0","506.5","598.5","616"
"Monroe, Arkansas","5095","550.7","487.3","620.9","305"
"Vinton, Ohio","39163","550.6","499.6","605.7","458"
"Sargent, North Dakota","38081","550.1","457.8","656.7","145"
"Bullitt, Kentucky","21029","550.0","527.9","572.8","2489"
"Monona, Iowa","19133","549.8","491.1","614.2","383"
"Boone, West Virginia","54005","549.7","511.8","589.9","852"
"Montour, Pennsylvania","42093","549.6","507.7","594.2","710"
"Garrard, Kentucky","21079","549.1","504.9","596.3","611"
"Hart, Kentucky","21099","549.0","505.7","595.3","632"
"Grant, Kentucky","21081","548.4","507.8","591.3","717"
"Clinton, Kentucky","21053","548.2","492.8","608.6","382"
"Swain, North Carolina","37173","548.1","500.5","599.2","522"
"Morgan, Illinois","17137","548.0","517.1","580.3","1266"
"Turner, Georgia","13287","547.8","484.8","617.2","291"
"Morehouse, Louisiana","22067","547.6","511.4","585.8","918"
"Poinsett, Arkansas","5111","547.4","510.2","586.6","850"
"Harlan, Kentucky","21095","547.4","512.2","584.4","977"
"Franklin, Illinois","17055","547.4","519.2","577.0","1508"
"Decatur, Iowa","19053","546.6","479.6","620.8","276"
"Laurel, Kentucky","21125","546.3","521.8","571.7","1964"
"Hernando, Florida","12053","546.2","533.4","559.2","8334"
"Marion, Missouri","29127","545.6","510.9","582.2","976"
"Clark, Kentucky","21049","545.3","514.4","577.7","1227"
"Clay, West Virginia","54015","545.3","485.8","610.7","332"
"Greene, Illinois","17061","545.2","496.7","597.4","495"
"Macon, Illinois","17115","545.2","527.6","563.3","3931"
"Marion, Illinois","17121","545.1","515.9","575.7","1408"
"Yalobusha, Mississippi","28161","544.8","494.9","598.8","474"
"Sussex, Virginia","51183","544.4","491.7","601.7","407"
"Robertson, Kentucky","21201","543.6","428.9","682.9","85"
"De Witt, Illinois","17039","543.3","498.9","590.9","589"
"Brule, South Dakota","46015","543.1","465.0","631.3","185"
"Fulton, New York","36035","543.1","518.6","568.4","1990"
"Claiborne, Tennessee","47025","542.8","510.7","576.4","1163"
"Erie, New York","36029","542.4","536.3","548.6","32008"
"Webster, West Virginia","54101","542.0","483.1","606.8","349"
"Waynesboro, Virginia","51820","541.7","502.9","582.9","759"
"Gloucester, New Jersey","34015","541.6","530.3","553.0","9263"
"Wolfe, Kentucky","21237","541.6","475.9","614.4","264"
"Clay, Illinois","17025","541.5","493.8","592.9","514"
"Oswego, New York","36075","541.3","523.9","559.2","3882"
"Rosebud, Montana","30087","541.1","477.4","611.0","286"
"Montgomery, Iowa","19137","541.0","486.8","600.1","407"
"Douglas, South Dakota","46043","540.8","433.0","668.4","111"
"Menard, Illinois","17129","540.6","490.0","595.3","455"
"Iberville, Louisiana","22047","539.8","507.0","574.3","1058"
"Benton, Tennessee","47005","539.2","497.1","584.5","675"
"Pendleton, Kentucky","21191","539.0","489.7","592.0","470"
"Barren, Kentucky","21009","539.0","511.3","568.0","1476"
"Hamilton, Illinois","17065","538.8","479.7","603.9","325"
"Ford, Illinois","17053","538.7","490.5","590.8","495"
"Montgomery, Kentucky","21173","538.5","502.5","576.4","869"
"Mississippi, Missouri","29133","538.1","489.9","590.0","472"
"Greene, Iowa","19073","537.9","481.3","600.0","369"
"Wicomico, Maryland","24045","537.5","518.2","557.3","3110"
"Oneida, Wisconsin","55085","537.3","509.2","566.8","1594"
"Spink, South Dakota","46115","536.9","465.8","616.2","238"
"McCook, South Dakota","46087","536.5","460.4","622.2","193"
"Lewis, West Virginia","54041","536.5","494.1","581.8","629"
"Richmond, Virginia","51159","536.4","480.2","598.2","347"
"Henry, Kentucky","21103","536.2","490.5","585.3","538"
"Suffolk, New York","36103","536.1","531.2","540.9","49095"
"Pulaski, Kentucky","21199","536.0","513.5","559.3","2266"
"Butler, Kentucky","21031","536.0","485.5","590.6","438"
"Franklin, Virginia","51620","535.9","473.0","605.3","290"
"Treasure, Montana","30103","535.9","359.1","796.1","35"
"Anderson, Kentucky","21005","535.9","495.8","578.5","694"
"Hardin, Kentucky","21093","535.4","516.3","555.1","3072"
"Scott, Illinois","17171","535.4","461.4","619.2","198"
"Kiowa, Colorado","8061","535.3","383.7","730.1","54"
"Carroll, Iowa","19027","535.2","495.7","577.2","763"
"Dickinson, Iowa","19059","534.9","494.4","578.4","756"
"Clarke, Iowa","19039","534.4","475.2","599.3","319"
"Lexington, Virginia","51678","534.2","452.2","628.6","188"
"Page, Iowa","19145","533.5","490.6","579.6","628"
"Cass, Illinois","17017","533.4","483.5","587.4","436"
"Boyd, Kentucky","21019","533.2","507.6","559.7","1738"
"Quitman, Georgia","13239","533.1","430.9","657.6","112"
"Minnehaha, South Dakota","46099","532.9","517.6","548.6","4926"
"Morgan, Indiana","18109","532.9","510.6","556.1","2279"
