Demographics, US by County, Poverty, Families Below Poverty (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Percent
"Todd, South Dakota","46121","52.1"
"Shannon, South Dakota","46113","45.1"
"Jefferson, Mississippi","28063","42.7"
"Wade Hampton, Alaska","2270","39.0"
"East Carroll, Louisiana","22035","38.6"
"Holmes, Mississippi","28051","38.3"
"Mellette, South Dakota","46095","38.0"
"Issaquena, Mississippi","28055","37.5"
"Claiborne, Mississippi","28021","36.3"
"Buffalo, South Dakota","46017","36.0"
"Leflore, Mississippi","28083","34.5"
"Clinch, Georgia","13065","34.3"
"Brooks, Texas","48047","33.9"
"Willacy, Texas","48489","33.6"
"Greene, Alabama","1063","33.4"
"Corson, South Dakota","46031","33.1"
"Jackson, South Dakota","46071","32.8"
"Clay, Kentucky","21051","32.6"
"Ziebach, South Dakota","46137","32.1"
"Harlan, Kentucky","21095","32.1"
"Bell, Kentucky","21013","32.1"
"Madison, Louisiana","22065","31.8"
"Perry, Alabama","1105","31.7"
"Starr, Texas","48427","31.4"
"Norton, Virginia","51720","31.3"
"Bullock, Alabama","1011","31.0"
"Adams, Mississippi","28001","31.0"
"McKinley, New Mexico","35031","30.9"
"Sioux, North Dakota","38085","30.5"
"Owsley, Kentucky","21189","30.1"
"Estill, Kentucky","21065","29.9"
"Turner, Georgia","13287","29.8"
"Zapata, Texas","48505","29.5"
"Stewart, Georgia","13259","29.5"
"McCreary, Kentucky","21147","29.5"
"Breathitt, Kentucky","21025","29.3"
"Wolfe, Kentucky","21237","29.2"
"Randolph, Georgia","13243","28.9"
"Clay, Georgia","13061","28.6"
"Dillon, South Carolina","45033","28.5"
"Hudspeth, Texas","48229","28.4"
"Zavala, Texas","48507","28.4"
"Apache, Arizona","4001","28.2"
"Terrell, Georgia","13273","28.2"
"Coahoma, Mississippi","28027","28.1"
"Madison, Idaho","16065","28.1"
"Washington, Mississippi","28151","28.1"
"Lee, Kentucky","21129","28.1"
"Bolivar, Mississippi","28011","27.9"
"Humphreys, Mississippi","28053","27.9"
"Pike, Mississippi","28113","27.8"
"Letcher, Kentucky","21133","27.8"
"Tensas, Louisiana","22107","27.7"
"Knox, Kentucky","21121","27.7"
"Calhoun, Georgia","13037","27.6"
"McDowell, West Virginia","54047","27.5"
"Hidalgo, Texas","48215","27.5"
"Luna, New Mexico","35029","27.5"
"Menominee, Wisconsin","55078","27.4"
"Candler, Georgia","13043","27.3"
"Knott, Kentucky","21119","27.3"
"Noxubee, Mississippi","28103","27.2"
"Cameron, Texas","48061","27.0"
"Wilkinson, Mississippi","28157","26.9"
"Ben Hill, Georgia","13017","26.7"
"Somervell, Texas","48425","26.7"
"Claiborne, Louisiana","22027","26.6"
"Leslie, Kentucky","21131","26.5"
"Glacier, Montana","30035","26.4"
"Yazoo, Mississippi","28163","26.3"
"Lafayette, Florida","12067","26.3"
"Webb, Texas","48479","26.2"
"Bronx, New York","36005","26.1"
"Costilla, Colorado","8023","26.0"
"Echols, Georgia","13101","25.8"
"Sunflower, Mississippi","28133","25.8"
"Fulton, Kentucky","21075","25.8"
"Crisp, Georgia","13081","25.6"
"Quitman, Mississippi","28119","25.6"
"Phillips, Arkansas","5107","25.5"
"Floyd, Kentucky","21071","25.4"
"Jackson, Kentucky","21109","25.4"
"Nevada, Arkansas","5099","25.3"
"Tallahatchie, Mississippi","28135","25.2"
"Webster, West Virginia","54101","25.2"
