Demographics, US by County, Non-English Language, Language Isolation (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Percent
"Kenedy, Texas","48261","44.0"
"Starr, Texas","48427","37.9"
"Hudspeth, Texas","48229","36.0"
"Presidio, Texas","48377","36.0"
"Zapata, Texas","48505","32.2"
"Culberson, Texas","48109","29.2"
"Maverick, Texas","48323","28.9"
"Miami-Dade, Florida","12086","25.1"
"Webb, Texas","48479","23.1"
"El Paso, Texas","48141","23.1"
"Imperial, California","6025","23.0"
"Clark, Idaho","16033","21.3"
"Hidalgo, Texas","48215","20.8"
"Queens, New York","36081","19.1"
"Colfax, Nebraska","31037","18.0"
"Bronx, New York","36005","18.0"
"Yoakum, Texas","48501","17.8"
"Adams, Washington","53001","17.5"
"La Salle, Texas","48283","17.3"
"Seward, Kansas","20175","17.1"
"Tulare, California","6107","17.1"
"Cameron, Texas","48061","16.6"
"Santa Cruz, Arizona","4023","16.5"
"Apache, Arizona","4001","16.2"
"Moore, Texas","48341","16.1"
"Jim Hogg, Texas","48247","15.9"
"Kings, New York","36047","15.1"
"Hudson, New Jersey","34017","15.1"
"Castro, Texas","48069","14.8"
"Hendry, Florida","12051","14.7"
"Zavala, Texas","48507","14.7"
"Ford, Kansas","20057","14.4"
"Willacy, Texas","48489","14.0"
"Franklin, Washington","53021","13.8"
"San Miguel, New Mexico","35047","13.7"
"Reagan, Texas","48383","13.3"
"Finney, Kansas","20055","13.3"
"Monterey, California","6053","13.3"
"Socorro, New Mexico","35053","13.2"
"Dallam, Texas","48111","13.1"
"Luna, New Mexico","35029","13.1"
"Suffolk, Massachusetts","25025","13.0"
"Merced, California","6047","12.9"
"Los Angeles, California","6037","12.9"
"Hansford, Texas","48195","12.8"
"Brooks, Texas","48047","12.3"
"Texas, Oklahoma","40139","12.3"
"Guadalupe, New Mexico","35019","12.3"
"Val Verde, Texas","48465","12.3"
"Union, New Jersey","34039","12.1"
"Passaic, New Jersey","34031","12.1"
"Reeves, Texas","48389","11.9"
"Harris, Texas","48201","11.9"
"Dimmit, Texas","48127","11.8"
"Pecos, Texas","48371","11.8"
"Duval, Texas","48131","11.6"
"San Francisco, California","6075","11.6"
"Kings, California","6031","11.5"
"Deaf Smith, Texas","48117","11.5"
