Incidence, US by County, All Races, Prostate (Male), 2013 - 2017
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Union, Florida","12125","230.6","193.9","273.4","162"
"Greeley, Nebraska","31077","215.7","129.6","347.8","22"
"Petersburg, Virginia","51730","210.1","179.9","244.2","184"
"Wilkinson, Mississippi","28157","210.0","158.5","273.7","59"
"Potter, South Dakota","46107","202.2","125.9","325.2","22"
"Macon, Alabama","1087","200.9","164.3","243.9","116"
"Sheridan, Montana","30091","199.9","131.2","297.8","28"
"Sumter, Alabama","1119","194.6","150.4","248.8","72"
"Bolivar, Mississippi","28011","191.6","161.8","225.5","162"
"Marion, Mississippi","28091","191.1","161.1","225.6","149"
"Mercer, North Dakota","38057","190.8","145.1","248.2","63"
"Lowndes, Alabama","1085","189.0","144.3","244.6","63"
"Terrell, Georgia","13273","185.9","138.1","246.6","55"
"Williamsburg, South Carolina","45089","183.9","157.6","213.6","195"
"Jefferson, Mississippi","28063","183.7","130.5","252.7","41"
"Williamsburg, Virginia","51830","182.7","140.4","235.4","66"
"Dallas, Alabama","1047","180.9","157.2","207.3","223"
"Grenada, Mississippi","28043","180.7","148.4","218.4","115"
"Quitman, Georgia","13239","180.6","106.4","305.3","20"
"Douglas, South Dakota","46043","179.5","109.8","286.7","21"
"Eddy, North Dakota","38027","178.7","102.5","301.8","17"
"Greene, Iowa","19073","177.2","134.6","231.1","61"
"Boone, Nebraska","31011","176.6","124.5","247.6","38"
"Dickinson, Iowa","19059","176.1","146.6","211.0","133"
"Sunflower, Mississippi","28133","175.3","142.2","213.4","110"
"Franklin, Mississippi","28037","174.5","127.3","235.7","48"
"McCook, South Dakota","46087","174.3","117.8","250.5","32"
"Forrest, Mississippi","28035","174.1","154.8","195.1","309"
"Franklin, Louisiana","22041","172.5","140.7","209.8","108"
"Perry, Alabama","1105","172.1","126.1","230.6","49"
"Cheyenne, Nebraska","31033","172.1","128.6","226.5","55"
"Clay, Mississippi","28025","172.0","140.1","209.6","107"
"Clayton, Georgia","13063","171.6","159.2","184.6","877"
"Greensville, Virginia","51081","171.4","130.0","222.5","66"
"Covington, Mississippi","28031","170.7","138.5","208.6","102"
"Leflore, Mississippi","28083","170.4","141.1","204.2","126"
"Tyrrell, North Carolina","37177","169.9","108.2","257.4","24"
"Woodruff, Arkansas","5147","168.7","119.7","233.9","42"
"Kemper, Mississippi","28069","167.9","125.8","220.8","55"
"Walthall, Mississippi","28147","167.6","131.1","211.8","76"
"Surry, Virginia","51181","167.3","118.7","232.9","43"
"Brule, South Dakota","46015","167.1","110.5","244.8","30"
"Catahoula, Louisiana","22025","166.9","124.2","220.6","54"
"Lee, South Carolina","45061","166.6","133.4","206.1","94"
"McIntosh, North Dakota","38051","166.2","96.8","278.8","20"
"Carroll, Iowa","19027","166.0","136.9","200.2","117"
"Harper, Oklahoma","40059","165.9","100.4","261.2","20"
"Cuming, Nebraska","31039","165.8","124.6","218.3","55"
"Stillwater, Montana","30095","165.0","126.5","214.2","67"
"Clay, Georgia","13061","164.9","90.2","282.9","17"
"St. James, Louisiana","22093","164.8","134.7","200.1","111"
"Chautauqua, New York","36013","164.4","152.6","177.0","750"
"Wayne, Mississippi","28153","163.8","132.5","200.7","101"
"Burt, Nebraska","31021","163.8","118.4","224.8","44"
"East Feliciana, Louisiana","22037","163.3","134.2","197.6","117"
"Franklin, Virginia","51620","162.1","116.7","221.6","43"
"Sherman, Nebraska","31163","161.8","96.8","263.5","20"
"Iberville, Louisiana","22047","161.4","137.2","188.9","167"
"Mississippi, Missouri","29133","161.4","123.4","207.5","66"
"Caribou, Idaho","16029","161.2","111.5","227.1","36"
"West Baton Rouge, Louisiana","22121","160.0","130.0","194.8","108"
"Tripp, South Dakota","46123","159.6","110.8","226.9","35"
"Palo Alto, Iowa","19147","159.5","119.7","210.4","55"
"Webster, Georgia","13307","159.4","91.5","269.9","17"
"Coahoma, Mississippi","28027","159.3","128.7","195.2","102"
"Sussex, Virginia","51183","159.3","121.2","206.7","62"
"West Feliciana, Louisiana","22125","159.2","125.4","200.1","90"
"Washington, Illinois","17189","159.1","125.2","200.3","80"
"Henry, Tennessee","47079","157.6","135.9","182.3","198"
"Wilcox, Alabama","1131","157.5","117.9","207.6","57"
"Lee, Texas","48287","157.5","125.8","195.4","89"
"Dixon, Nebraska","31051","157.4","107.1","225.9","33"
"Tallahatchie, Mississippi","28135","157.0","119.4","203.0","63"
"Hardeman, Tennessee","47069","156.9","130.4","187.6","131"
"Henry, Georgia","13151","156.9","145.7","168.9","811"
"Emmet, Iowa","19063","156.5","118.3","205.0","58"
"Chester, South Carolina","45023","156.3","132.4","183.6","165"
"Jones, North Carolina","37103","155.8","116.9","205.5","57"
"Adams, Iowa","19003","155.6","96.2","243.9","23"
"Marengo, Alabama","1091","155.6","126.7","189.8","105"
"Emmons, North Dakota","38029","155.3","100.9","241.1","26"
"East Baton Rouge, Louisiana","22033","154.9","147.4","162.7","1723"
"Audubon, Iowa","19009","154.7","108.6","218.8","37"
"Choctaw, Alabama","1023","154.5","121.0","196.0","76"
"Charles Mix, South Dakota","46023","154.4","113.6","206.7","48"
"Jefferson, Alabama","1073","154.4","148.5","160.4","2806"
"Montgomery, Alabama","1101","154.1","143.8","164.9","892"
"Franklin, New York","36033","153.9","135.1","174.7","256"
"Wayne, Nebraska","31179","153.7","108.9","211.7","40"
"Jefferson Davis, Mississippi","28065","153.5","116.9","199.5","63"
"Claiborne, Louisiana","22027","153.3","121.9","190.9","85"
"Essex, New Jersey","34013","153.1","147.4","158.9","2966"
"Jefferson, Arkansas","5069","153.1","136.6","171.1","335"
"Cape May, New Jersey","34009","152.9","140.7","166.1","610"
"Ida, Iowa","19093","152.9","109.4","210.9","42"
"Noxubee, Mississippi","28103","152.7","112.3","203.9","50"
"Rapides, Louisiana","22079","152.2","139.7","165.6","570"
"Upson, Georgia","13293","152.2","126.7","181.9","131"
"Brunswick, Virginia","51025","151.9","122.4","187.4","95"
"Hettinger, North Dakota","38041","151.9","88.3","257.0","17"
"Holt, Nebraska","31089","151.6","114.9","198.1","62"
"Dougherty, Georgia","13095","151.6","136.2","168.4","374"
"Kent, Delaware","10001","151.5","140.8","162.8","772"
"Calhoun, Georgia","13037","151.4","96.9","226.1","28"
"Morehouse, Louisiana","22067","151.4","125.4","181.7","125"
"Prince George's, Maryland","24033","151.1","145.8","156.6","3345"
"Valley, Montana","30105","150.6","108.7","205.8","45"
"Richmond, Virginia","51159","150.5","111.1","201.1","49"
"Lafayette, Louisiana","22055","150.4","140.1","161.3","859"
"Rockdale, Georgia","13247","150.3","134.1","168.0","348"
"Pulaski, Arkansas","5119","150.2","142.8","158.0","1620"
"Clark, Arkansas","5019","150.0","121.0","184.3","96"
"Charles City, Virginia","51036","149.6","107.3","207.8","46"
"Grundy, Illinois","17063","149.5","128.9","172.6","202"
"Grant, North Dakota","38037","149.3","88.3","256.3","18"
"Charles, Maryland","24017","149.0","136.5","162.3","588"
"East Carroll, Louisiana","22035","148.8","99.8","214.3","31"
"Ben Hill, Georgia","13017","148.8","114.5","190.3","69"
"Lamar, Mississippi","28073","148.7","128.9","170.6","217"
"Vermilion, Louisiana","22113","148.7","130.2","169.1","244"
"Butts, Georgia","13035","148.6","120.3","181.8","104"
"Bibb, Georgia","13021","148.6","136.6","161.4","600"
"Marlboro, South Carolina","45069","148.6","122.0","179.5","121"
"Chase, Nebraska","31029","148.4","91.0","233.3","21"
"Greene, Georgia","13133","148.4","121.3","181.4","118"
"St. Martin, Louisiana","22099","148.3","129.0","169.7","230"
"Big Horn, Montana","30003","148.1","107.7","198.8","48"
"Mercer, New Jersey","34021","148.1","140.5","156.0","1502"
"Burlington, New Jersey","34005","147.9","141.4","154.6","2036"
"Flathead, Montana","30029","147.9","135.0","161.7","527"
"Ouachita, Arkansas","5103","147.8","122.7","177.2","129"
"Lee, Mississippi","28081","147.7","131.6","165.2","324"
"Beadle, South Dakota","46005","147.5","117.6","183.1","88"
"Hinds, Mississippi","28049","147.4","137.6","157.7","906"
"Tooele, Utah","49045","147.3","125.5","171.6","181"
"Lemhi, Idaho","16059","147.3","110.1","197.7","60"
"Stephens, Georgia","13257","147.2","121.5","177.2","124"
"Cayuga, New York","36011","146.9","132.3","162.7","390"
"Morgan, Georgia","13211","146.5","117.3","181.6","92"
"Madison, Nebraska","31119","146.5","123.3","173.1","148"
"Pawnee, Nebraska","31133","146.4","88.3","243.9","20"
"Douglas, Georgia","13097","146.2","132.3","161.1","465"
"Tuscaloosa, Alabama","1125","146.2","135.2","157.9","714"
"Barbour, Alabama","1005","146.2","120.4","176.2","122"
"Custer, Montana","30017","146.1","110.5","190.4","61"
"Elk, Pennsylvania","42047","146.1","125.2","170.1","180"
"Shelby, Alabama","1117","146.0","135.9","156.7","840"
"Essex, Virginia","51057","145.9","110.3","191.2","60"
"Halifax, North Carolina","37083","145.9","128.2","165.6","257"
"Lincoln, Idaho","16063","145.9","89.5","225.2","22"
"Quitman, Mississippi","28119","145.4","98.5","208.5","33"
"Clay, Iowa","19041","145.4","115.6","181.6","85"
"Stanley, South Dakota","46117","145.3","82.5","243.9","16"
"Liberty, Georgia","13179","145.2","122.3","171.0","165"
"Keith, Nebraska","31101","145.1","106.4","196.2","51"
"Towns, Georgia","13281","145.0","115.3","184.3","87"
"Monroe, Mississippi","28095","144.8","123.1","169.5","166"
"Holmes, Mississippi","28051","144.8","112.0","184.5","70"
"Jasper, Mississippi","28061","144.7","115.5","180.0","87"
"Sumter, Georgia","13261","144.7","120.0","173.2","128"
"Gallatin, Montana","30031","144.6","129.4","161.1","363"
"Blaine, Montana","30005","144.6","92.6","215.4","25"
"Lyon, Iowa","19119","144.6","107.6","190.8","53"
"Williamson, Tennessee","47187","144.6","134.3","155.5","814"
"Bronx, New York","36005","144.5","140.2","148.9","4502"
"Adams, Mississippi","28001","144.5","122.0","170.4","154"
"Meagher, Montana","30059","144.3","83.5","263.4","17"
"Halifax, Virginia","51083","144.3","124.5","167.0","201"
"Perry, Mississippi","28111","144.1","107.2","190.4","55"
"Shelby, Tennessee","47157","144.0","138.8","149.3","3282"
"Wheeler, Texas","48483","143.9","93.1","214.6","27"
"Marion, Kentucky","21155","143.8","112.7","180.9","80"
"Madison, Mississippi","28089","143.6","128.5","160.0","373"
"Yalobusha, Mississippi","28161","143.5","108.9","186.9","63"
"Pasquotank, North Carolina","37139","143.4","121.9","167.7","166"
"Newton, Mississippi","28101","143.3","114.3","177.7","87"
"Summit, Utah","49043","143.2","118.5","171.6","152"
"Moody, South Dakota","46101","143.1","96.2","207.0","31"
"Jones, Mississippi","28067","143.1","126.8","161.1","290"
"Sutton, Texas","48435","142.9","82.9","232.3","18"
"Bradley, Arkansas","5011","142.8","106.0","189.4","52"
"Emporia, Virginia","51595","142.8","90.1","218.6","23"
"Cass, Iowa","19029","142.7","112.0","180.8","75"
"Portsmouth, Virginia","51740","142.5","127.4","158.8","346"
"Ascension, Louisiana","22005","142.4","128.4","157.4","421"
"Fulton, Georgia","13121","142.3","137.1","147.6","3149"
"Park, Wyoming","56029","142.3","121.1","166.9","171"
"Tunica, Mississippi","28143","142.3","96.2","202.8","33"
"Prince George, Virginia","51149","142.3","119.8","167.8","155"
"Camden, New Jersey","34007","142.3","136.0","148.8","2027"
"Minnehaha, South Dakota","46099","142.2","130.8","154.2","647"
"Florence, South Carolina","45041","141.9","129.9","154.9","553"
"Amite, Mississippi","28005","141.8","109.2","182.6","70"
"DeKalb, Georgia","13089","141.6","135.7","147.8","2333"
"Allendale, South Carolina","45005","141.6","101.4","193.8","44"
"Deuel, South Dakota","46039","141.4","88.9","217.8","23"
"Mecklenburg, North Carolina","37119","141.3","136.1","146.6","3142"
"Orleans, Louisiana","22071","141.3","133.8","149.1","1457"
"Niagara, New York","36063","141.3","132.5","150.6","1020"
"Davison, South Dakota","46035","141.1","112.3","175.4","86"
"Gloucester, New Jersey","34015","140.7","132.5","149.3","1182"
"Erie, New York","36029","140.7","136.3","145.3","4008"
"Grant, Arkansas","5053","140.6","110.7","176.6","80"
"Onondaga, New York","36067","140.5","134.3","147.0","2003"
"Garland, Arkansas","5051","140.4","128.5","153.3","533"
"Stark, North Dakota","38089","140.4","114.0","171.0","105"
"Greer, Oklahoma","40055","140.3","92.4","205.6","27"
"Wicomico, Maryland","24045","140.0","126.2","154.9","396"
"Wells, North Dakota","38103","139.9","92.9","211.6","28"
"Marion, Illinois","17121","139.7","120.0","162.0","184"
"Lamar, Georgia","13171","139.6","111.1","174.1","85"
"Drew, Arkansas","5043","139.6","109.7","175.7","77"
"Brookings, South Dakota","46011","139.6","113.8","169.4","108"
"Pocahontas, Iowa","19151","139.5","99.3","194.3","40"
"Cleveland, Arkansas","5025","139.4","99.9","191.5","42"
"Washington, Mississippi","28151","139.4","119.0","162.3","182"
"Salem, New Jersey","34033","139.3","123.3","156.9","289"
"Lee, Arkansas","5077","139.3","101.2","188.1","45"
"Marshall, Mississippi","28093","139.3","117.9","163.7","165"
"Monmouth, New Jersey","34025","139.3","134.0","144.8","2747"
"Marion, South Carolina","45067","139.3","116.2","166.2","139"
"Lake, South Dakota","46079","139.3","106.1","180.9","70"
"Hamilton, Iowa","19079","139.1","109.0","175.9","75"
"Boone, Iowa","19015","139.1","114.9","167.2","123"
"Anson, North Carolina","37007","139.0","113.9","168.4","115"
"Chambers, Alabama","1017","138.9","117.6","163.3","160"
"Yazoo, Mississippi","28163","138.8","112.1","169.8","101"
"Cobb, Georgia","13067","138.7","132.9","144.7","2404"
"Burleigh, North Dakota","38015","138.6","124.2","154.3","355"
"Clay, Alabama","1027","138.5","106.3","178.6","64"
"Story, Iowa","19169","138.5","122.2","156.3","273"
"Starr, Texas","48427","138.5","118.5","160.9","172"
"Edmunds, South Dakota","46045","138.2","87.3","214.8","23"
"St. Mary, Louisiana","22101","138.0","119.7","158.4","216"
"Sheridan, Nebraska","31161","138.0","94.3","200.8","33"
"Scott, Illinois","17171","137.9","87.7","210.0","24"
"Early, Georgia","13099","137.9","98.9","188.1","43"
"Jefferson, Illinois","17081","137.9","117.9","160.5","176"
"Washington, Georgia","13303","137.8","109.4","171.9","88"
"Kitsap, Washington","53035","137.8","129.8","146.2","1183"
"Philadelphia, Pennsylvania","42101","137.8","134.0","141.7","5153"
"Baltimore, Maryland","24510","137.7","131.6","144.0","2093"
"Vilas, Wisconsin","55125","137.7","115.1","164.9","153"
"Wayne, Michigan","26163","137.6","134.3","141.1","6722"
"Effingham, Illinois","17049","137.5","115.7","162.4","148"
"Morton, North Dakota","38059","137.5","113.5","165.1","122"
"Walker, Alabama","1127","137.3","121.4","154.8","292"
"Price, Wisconsin","55099","137.2","110.0","171.6","92"
"Deer Lodge, Montana","30023","137.0","101.4","183.8","52"
"Dodge, Nebraska","31053","136.9","116.6","159.9","165"
"Allen, Louisiana","22003","136.8","110.6","167.3","100"
"Polk, Nebraska","31143","136.8","89.8","204.2","28"
"Claiborne, Mississippi","28021","136.7","94.7","192.7","37"
"Ouachita, Louisiana","22073","136.6","125.0","148.9","545"
"Nassau, New York","36059","136.6","133.0","140.3","5756"
"Morgan, Illinois","17137","136.5","115.5","160.6","155"
"Rockland, New York","36087","136.4","128.7","144.5","1210"
"Oktibbeha, Mississippi","28105","136.3","113.6","162.3","131"
"Acadia, Louisiana","22001","136.2","118.7","155.7","232"
"Passaic, New Jersey","34031","136.2","129.8","142.8","1795"
"Lee, North Carolina","37105","136.2","118.9","155.4","237"
"Sweetwater, Wyoming","56037","136.1","113.4","161.8","153"
"Lowndes, Mississippi","28087","136.1","118.6","155.7","230"
"Caswell, North Carolina","37033","136.1","111.7","165.1","117"
"Jefferson, Georgia","13163","136.1","104.3","175.3","66"
"Peach, Georgia","13225","136.0","110.1","166.4","104"
"Terry, Texas","48445","136.0","98.6","182.9","45"
"McDuffie, Georgia","13189","136.0","108.2","169.2","88"
"Washington, Wisconsin","55131","135.7","124.9","147.4","608"
"Darlington, South Carolina","45031","135.7","120.1","152.9","299"
"Jasper, Georgia","13159","135.6","101.5","178.2","59"
"Fairfield, South Carolina","45039","135.3","110.2","165.3","113"
"Richmond, Georgia","13245","135.3","124.9","146.2","685"
"Bertie, North Carolina","37015","135.2","108.9","166.8","96"
"Washington, Idaho","16087","135.0","101.7","178.3","58"
"Clarke, Mississippi","28023","134.9","105.8","170.5","77"
"Turner, South Dakota","46125","134.9","97.0","185.3","43"
"Bowman, North Dakota","38011","134.8","76.8","225.8","16"
"Box Butte, Nebraska","31013","134.8","99.5","179.8","55"
"Richland, South Carolina","45079","134.8","127.2","142.8","1270"
"Clarke, Alabama","1025","134.6","109.8","163.8","108"
"Union, New Jersey","34039","134.6","128.5","140.9","1948"
"Harris, Georgia","13145","134.5","113.3","159.0","158"
"Schuyler, Illinois","17169","134.3","94.7","187.9","39"
"Musselshell, Montana","30065","134.3","87.6","204.8","28"
"Fayette, Georgia","13113","134.2","122.5","146.9","513"
"Morgan, Alabama","1103","134.2","122.2","147.0","483"
"Sac, Iowa","19161","134.1","98.6","180.3","50"
"Spalding, Georgia","13255","134.0","118.1","151.6","269"
"Richmond, Virginia","51760","133.9","123.8","144.6","723"
"Westchester, New York","36119","133.9","129.5","138.3","3777"
"Mathews, Virginia","51115","133.9","101.4","178.3","60"
"Guilford, North Carolina","37081","133.7","127.6","140.1","1875"
"Douglas, Washington","53017","133.7","114.1","155.9","173"
"Wayne, New York","36117","133.6","120.8","147.5","421"
"Sullivan, Pennsylvania","42113","133.6","93.6","191.5","40"
"Wilkes, Georgia","13317","133.5","97.5","180.3","48"
"Boone, Arkansas","5009","133.4","114.3","155.2","177"
"Union, Georgia","13291","133.4","112.3","158.9","158"
"Haywood, Tennessee","47075","133.2","104.1","168.8","76"
"Hughes, South Dakota","46065","133.2","104.0","168.6","75"
"Washington, Nebraska","31177","133.2","106.5","165.2","91"
"Autauga, Alabama","1001","133.2","115.0","153.7","200"
"Taylor, Wisconsin","55119","133.1","107.6","163.5","98"
"Lowndes, Georgia","13185","133.0","118.4","148.8","323"
"Plymouth, Iowa","19149","133.0","109.1","161.0","113"
"Terrebonne, Louisiana","22109","132.9","119.6","147.4","389"
"Delaware, Ohio","39041","132.9","122.7","143.7","684"
"Wheeler, Georgia","13309","132.9","88.9","192.0","31"
"Oldham, Kentucky","21185","132.9","114.7","153.2","230"
"Carbon, Montana","30009","132.9","102.1","173.4","67"
"Hopewell, Virginia","51670","132.7","104.8","166.1","80"
"Wyoming, New York","36121","132.4","113.1","154.2","183"
"Martin, North Carolina","37117","132.4","108.8","160.6","117"
"Montgomery, Iowa","19137","132.4","97.6","177.4","50"
"Spencer, Kentucky","21215","132.3","102.4","168.9","74"
"Polk, Texas","48373","132.1","115.1","151.2","240"
"Bamberg, South Carolina","45009","132.1","101.6","170.0","68"
"Clinch, Georgia","13065","132.1","84.1","198.8","27"
"Rosebud, Montana","30087","132.0","93.1","183.0","40"
"Houston, Alabama","1069","131.9","119.4","145.5","424"
"Hamlin, South Dakota","46057","131.9","84.5","198.0","25"
"Kane, Utah","49025","131.9","89.2","190.1","36"
"Dunn, North Dakota","38025","131.8","76.2","214.0","18"
"Van Wert, Ohio","39161","131.7","108.9","158.3","121"
"Sumter, South Carolina","45085","131.6","118.6","145.7","391"
"Jefferson, Washington","53031","131.5","114.5","151.8","242"
"Medina, Ohio","39103","131.5","122.0","141.6","750"
"Cumberland, North Carolina","37051","131.4","122.8","140.5","927"
"Union, North Carolina","37179","131.3","121.6","141.6","739"
"De Soto, Louisiana","22031","131.3","108.2","158.5","117"
"Mountrail, North Dakota","38061","131.3","89.8","185.4","36"
"Baltimore, Maryland","24005","131.3","126.7","136.1","3199"
"Monroe, New York","36055","131.2","126.4","136.3","2884"
"Bienville, Louisiana","22013","131.2","100.5","169.5","63"
"Livingston, New York","36051","130.9","115.7","147.8","283"
"Saunders, Nebraska","31155","130.8","105.7","160.8","98"
"Pointe Coupee, Louisiana","22077","130.8","106.4","160.0","104"
"Ashland, Wisconsin","55003","130.7","101.2","166.9","70"
"Albany, Wyoming","56001","130.7","105.6","159.9","105"
"Houston, Georgia","13153","130.6","118.3","143.7","457"
"Beaverhead, Montana","30001","130.5","94.7","177.6","49"
"Suffolk, Virginia","51800","130.5","116.1","146.3","321"
"Hand, South Dakota","46059","130.4","75.3","218.7","17"
"Columbia, Washington","53013","130.4","84.2","203.2","26"
"Elmore, Alabama","1051","130.3","115.2","146.8","295"
"Cortland, New York","36023","130.3","112.0","151.0","190"
"Toombs, Georgia","13279","130.3","105.1","159.9","98"
"Jasper, South Carolina","45053","130.1","106.4","157.8","113"
"Tipton, Tennessee","47167","130.1","112.7","149.4","217"
"Washington, Utah","49053","130.0","120.3","140.4","701"
"Hale, Alabama","1065","129.9","98.2","169.3","63"
"Mecklenburg, Virginia","51117","129.9","110.9","151.9","173"
"Harford, Maryland","24025","129.9","121.7","138.6","993"
"Craven, North Carolina","37049","129.8","117.5","143.1","423"
"Johnson, Nebraska","31097","129.8","82.3","197.1","24"
"Cumberland, New Jersey","34011","129.8","118.9","141.5","544"
"Calcasieu, Louisiana","22019","129.7","120.1","140.0","709"
"Fayette, Alabama","1057","129.7","102.4","163.0","80"
"Lee, Georgia","13177","129.7","103.9","160.2","101"
"Crawford, Iowa","19047","129.6","100.7","164.7","71"
"Carroll, Tennessee","47017","129.4","107.2","155.3","124"
"Kendall, Illinois","17093","129.3","114.7","145.2","320"
"Sioux, Iowa","19167","129.3","107.2","154.7","124"
"Avoyelles, Louisiana","22009","129.2","109.5","151.6","159"
"Greene, Alabama","1063","129.0","90.0","181.3","38"
"Muscogee, Georgia","13215","129.0","118.7","140.1","613"
"Columbia, Arkansas","5027","128.9","103.1","159.6","89"
"Cavalier, North Dakota","38019","128.9","80.8","204.0","23"
"Platte, Nebraska","31141","128.9","107.3","153.7","130"
"Richland, Louisiana","22083","128.8","101.7","161.4","82"
"Lenoir, North Carolina","37107","128.8","112.5","146.9","238"
"Wayne, North Carolina","37191","128.7","116.6","141.7","440"
"Crawford, Georgia","13079","128.7","95.6","170.8","56"
"Bergen, New Jersey","34003","128.6","124.4","133.0","3646"
"Webster, Mississippi","28155","128.6","90.9","177.9","40"
"Hardin, Iowa","19083","128.5","101.5","161.3","81"
"St. Lawrence, New York","36089","128.5","116.5","141.5","443"
"Jackson, Iowa","19097","128.5","103.7","158.4","95"
"St. Landry, Louisiana","22097","128.5","114.3","144.1","313"
"Northampton, North Carolina","37131","128.4","104.7","157.2","107"
"Sabine, Louisiana","22085","128.4","105.3","155.8","113"
"Meriwether, Georgia","13199","128.4","103.7","158.1","100"
"Brooks, Georgia","13027","128.4","98.8","164.8","69"
"McLean, North Dakota","38055","128.4","96.1","170.7","57"
"Phillips, Arkansas","5107","128.3","99.6","163.0","74"
"Nuckolls, Nebraska","31129","128.3","80.7","200.8","25"
"Iron, Wisconsin","55051","128.3","90.9","184.9","40"
"Humboldt, Nevada","32013","128.3","94.2","170.4","54"
"York, South Carolina","45091","128.2","119.5","137.5","870"
"Northampton, Virginia","51131","128.1","98.5","166.0","67"
"King William, Virginia","51101","128.0","98.5","164.4","67"
"Angelina, Texas","48005","128.0","114.1","143.3","317"
"Jefferson, New York","36045","128.0","114.8","142.4","357"
"Mercer, Ohio","39107","128.0","109.0","149.6","170"
"Calhoun, Mississippi","28013","128.0","97.1","166.6","60"
"Monroe, Georgia","13207","128.0","105.6","154.4","121"
"Hancock, Kentucky","21091","127.9","87.7","181.6","37"
"Southampton, Virginia","51175","127.9","102.2","159.2","92"
"Wake, North Carolina","37183","127.8","123.0","132.7","2950"
"Grundy, Iowa","19075","127.7","95.9","167.9","56"
"Dawson, Montana","30021","127.7","91.2","175.3","42"
"Cherokee, Georgia","13057","127.7","118.3","137.6","783"
"Gwinnett, Georgia","13135","127.7","122.1","133.5","2352"
"Morris, New Jersey","34027","127.6","121.9","133.5","1960"
"Garfield, Utah","49017","127.5","83.1","191.9","27"
"Oakland, Michigan","26125","127.5","123.8","131.3","4828"
"Benton, Tennessee","47005","127.5","100.6","160.6","82"
"Washington, North Carolina","37187","127.5","97.2","166.4","63"
"Grand Traverse, Michigan","26055","127.5","114.9","141.1","403"
"Gibson, Tennessee","47053","127.4","109.9","147.0","197"
"Gregory, South Dakota","46053","127.4","77.9","202.0","22"
"Charleston, South Carolina","45019","127.4","120.7","134.3","1457"
"District of Columbia, District of Columbia","11001","127.4","121.5","133.5","1876"
"Tyler, West Virginia","54095","127.3","92.7","173.3","48"
"New Castle, Delaware","10003","127.2","121.5","133.1","1961"
"St. Charles, Louisiana","22089","127.2","108.2","148.6","177"
"Tensas, Louisiana","22107","127.1","80.0","197.6","24"
"Davis, Utah","49011","127.1","118.4","136.3","839"
"Racine, Wisconsin","55101","127.1","118.0","136.8","763"
"Black Hawk, Iowa","19013","127.0","115.8","139.0","497"
"Kings, New York","36047","126.9","124.0","129.8","7649"
"Suffolk, New York","36103","126.9","123.6","130.3","5713"
"Hampton, Virginia","51650","126.9","115.4","139.2","478"
"Paulding, Georgia","13223","126.8","114.0","140.5","419"
"Cherokee, Iowa","19035","126.8","96.2","166.0","60"
"Brown, South Dakota","46013","126.7","106.5","149.8","146"
"Lauderdale, Mississippi","28075","126.7","112.2","142.6","291"
"Harlan, Nebraska","31083","126.7","79.1","203.6","22"
"Hoke, North Carolina","37093","126.7","105.2","151.3","139"
"Monroe, Arkansas","5095","126.6","88.4","179.1","36"
"Shelby, Iowa","19165","126.6","96.1","165.7","59"
"Buena Vista, Iowa","19021","126.5","98.6","160.0","76"
"Jefferson, Kentucky","21111","126.4","121.5","131.4","2702"
"Custer, Colorado","8027","126.4","82.5","197.9","34"
"Chatham, Georgia","13051","126.3","118.1","134.8","941"
