Demographics, US by County, Population, Age 65 and Over (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Percent
"Kalawao, Hawaii","15005","57.3"
"Gilpin, Colorado","8047","49.9"
"Jones, South Dakota","46075","46.1"
"Aleutians East, Alaska","2013","45.9"
"Hinsdale, Colorado","8053","45.2"
"Park, Colorado","8093","45.0"
"Eureka, Nevada","32011","44.6"
"Bristol Bay, Alaska","2060","44.6"
"Denali, Alaska","2068","44.5"
"Golden Valley, Montana","30037","44.1"
"Judith Basin, Montana","30045","44.0"
"Clear Creek, Colorado","8019","43.1"
"Elbert, Colorado","8039","42.8"
"Petroleum, Montana","30069","42.4"
"Sterling, Texas","48431","42.0"
"Mineral, Colorado","8079","41.7"
"McPherson, Nebraska","31117","41.6"
"Cameron, Louisiana","22023","41.1"
"Florence, Wisconsin","55037","40.9"
"Teller, Colorado","8119","40.8"
"King, Texas","48269","40.8"
"Aleutians West, Alaska","2016","40.7"
"Wheeler, Nebraska","31183","40.6"
"Boise, Idaho","16015","40.6"
"Ouray, Colorado","8091","40.5"
"Valley, Idaho","16085","40.4"
"Skagway-Hoonah-Angoon, Alaska","2232","40.4"
"Tyrrell, North Carolina","37177","40.3"
"Powhatan, Virginia","51145","40.3"
"Goochland, Virginia","51075","40.0"
"Grand Isle, Vermont","50013","40.0"
"Lake of the Woods, Minnesota","27077","40.0"
"Jackson, Colorado","8057","39.9"
"Southampton, Virginia","51175","39.8"
"Hunterdon, New Jersey","34019","39.7"
"San Miguel, Colorado","8113","39.6"
"Charles City, Virginia","51036","39.6"
"Surry, Virginia","51181","39.5"
"Iron, Wisconsin","55051","39.5"
"Banner, Nebraska","31007","39.5"
"Spencer, Kentucky","21215","39.5"
"Coosa, Alabama","1037","39.4"
"Pope, Illinois","17151","39.4"
"Price, Wisconsin","55099","39.4"
"Bledsoe, Tennessee","47007","39.4"
"Treasure, Montana","30103","39.3"
"Jefferson, Montana","30043","39.2"
"Sussex, New Jersey","34037","39.1"
"Skamania, Washington","53059","39.1"
"Powder River, Montana","30075","39.0"
"Blanco, Texas","48031","38.9"
"Sullivan, Pennsylvania","42113","38.9"
"Ontonagon, Michigan","26131","38.9"
"Divide, North Dakota","38023","38.9"
"Fall River, South Dakota","46047","38.9"
"Powell, Montana","30077","38.9"
"New Kent, Virginia","51127","38.9"
"Custer, South Dakota","46033","38.8"
"Fairfield, South Carolina","45039","38.7"
"Putnam, New York","36079","38.7"
"Rockingham, New Hampshire","33015","38.6"
"Oconto, Wisconsin","55083","38.5"
"Carroll, New Hampshire","33003","38.5"
"Carbon, Montana","30009","38.5"
"Granville, North Carolina","37077","38.4"
"Litchfield, Connecticut","9005","38.4"
"Gates, North Carolina","37073","38.3"
"Ohio, Indiana","18115","38.3"
"Schoolcraft, Michigan","26153","38.3"
"Steele, North Dakota","38091","38.2"
"Russell, Virginia","51167","38.2"
"Deer Lodge, Montana","30023","38.2"
"Cameron, Pennsylvania","42023","38.2"
"Currituck, North Carolina","37053","38.2"
"Loving, Texas","48301","38.2"
"Monroe, Florida","12087","38.2"
"Lincoln, Wisconsin","55069","38.1"
"Adams, Wisconsin","55001","38.0"
"Marin, California","6041","38.0"
"Hamilton, New York","36041","37.9"
"Botetourt, Virginia","51023","37.9"
"Essex, Vermont","50009","37.9"
"Livingston, Michigan","26093","37.9"
"Oxford, Maine","23017","37.9"
"Dinwiddie, Virginia","51053","37.8"
"Summit, Utah","49043","37.8"
"Bland, Virginia","51021","37.8"
"Talbot, Georgia","13263","37.8"
"Belknap, New Hampshire","33001","37.8"
"Crawford, Georgia","13079","37.8"
"West Feliciana, Louisiana","22125","37.8"
"Pike, Pennsylvania","42103","37.7"
"Grand, Colorado","8049","37.7"
"Daggett, Utah","49009","37.7"
"Van Buren, Tennessee","47175","37.7"
"Archuleta, Colorado","8007","37.7"
"Pershing, Nevada","32027","37.7"
"Wirt, West Virginia","54105","37.6"
"Dare, North Carolina","37055","37.6"
"San Juan, Washington","53055","37.6"
"Montmorency, Michigan","26119","37.6"
"Warren, New Jersey","34041","37.6"
"Stokes, North Carolina","37169","37.6"
"Lapeer, Michigan","26087","37.6"
"Middlesex, Connecticut","9007","37.5"
"San Juan, Colorado","8111","37.5"
"Ferry, Washington","53019","37.5"
"Lee, Kentucky","21129","37.5"
"East Feliciana, Louisiana","22037","37.5"
"Clarke, Virginia","51043","37.5"
"Wakulla, Florida","12129","37.5"
"Elk, Pennsylvania","42047","37.4"
"Somerset, Maine","23025","37.4"
"Bayfield, Wisconsin","55007","37.4"
"Koochiching, Minnesota","27071","37.4"
"Piscataquis, Maine","23021","37.4"
"Calhoun, West Virginia","54013","37.4"
"Crawford, Michigan","26039","37.4"
"Isle of Wight, Virginia","51093","37.4"
"Lincoln, North Carolina","37109","37.4"
"Armstrong, Texas","48011","37.4"
"McIntosh, Georgia","13191","37.4"
"Charlton, Georgia","13049","37.3"
"Waushara, Wisconsin","55137","37.3"
"Blaine, Idaho","16013","37.3"
"Sagadahoc, Maine","23023","37.3"
"Hampshire, West Virginia","54027","37.3"
"Pendleton, West Virginia","54071","37.3"
"Towner, North Dakota","38095","37.3"
"Carbon, Pennsylvania","42025","37.3"
"Bedford, Virginia","51917","37.2"
"Fayette, Georgia","13113","37.2"
"Valdez-Cordova, Alaska","2261","37.2"
"Coos, New Hampshire","33007","37.2"
"Oneida, Wisconsin","55085","37.2"
"Morris, New Jersey","34027","37.2"
"Morgan, West Virginia","54065","37.2"
"Calvert, Maryland","24009","37.2"
"Kent, Texas","48263","37.2"
"Dooly, Georgia","13093","37.2"
"Franklin, Massachusetts","25011","37.2"
"Somerset, New Jersey","34035","37.2"
"Orange, Vermont","50017","37.1"
"Morgan, Kentucky","21175","37.1"
"Johnson, Wyoming","56019","37.1"
"Prairie, Montana","30079","37.1"
"Schuyler, New York","36097","37.1"
"Magoffin, Kentucky","21153","37.1"
"Cook, Minnesota","27031","37.1"
"Estill, Kentucky","21065","37.1"
"Monmouth, New Jersey","34025","37.1"
"Polk, Tennessee","47139","37.1"
"Douglas, Colorado","8035","37.0"
"Hancock, West Virginia","54029","37.0"
"Rusk, Wisconsin","55107","37.0"
"Gloucester, Virginia","51073","37.0"
"Arenac, Michigan","26011","37.0"
"Tucker, West Virginia","54093","37.0"
"York, Maine","23031","37.0"
"Jackson, Tennessee","47087","37.0"
"Wayne, Pennsylvania","42127","37.0"
"Kidder, North Dakota","38043","36.9"
"Chisago, Minnesota","27025","36.9"
"Warren, New York","36113","36.9"
"Chaffee, Colorado","8015","36.9"
"Glascock, Georgia","13125","36.9"
"Bath, Virginia","51017","36.9"
"Lincoln, Montana","30053","36.9"
"Marion, Texas","48315","36.9"
"Summers, West Virginia","54089","36.9"
"Wythe, Virginia","51197","36.9"
"Lake, Minnesota","27075","36.9"
"Calaveras, California","6009","36.9"
"Mackinac, Michigan","26097","36.9"
"Brown, Indiana","18013","36.9"
"Menifee, Kentucky","21165","36.9"
"Garrard, Kentucky","21079","36.9"
"Warren, Indiana","18171","36.8"
"McHenry, Illinois","17111","36.8"
"Louisa, Virginia","51109","36.8"
