Demographics, US by County, Income, Median Household Income (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Dollars
"Iredell, North Carolina","37097","58198"
"Lampasas, Texas","48281","58194"
"Durham, North Carolina","37063","58190"
"Lamar, Mississippi","28073","58188"
"Monroe, Wisconsin","55081","58178"
"Grady, Oklahoma","40051","58177"
"Moody, South Dakota","46101","58167"
"Calaveras, California","6009","58151"
"Logan, North Dakota","38047","58144"
"Pope, Minnesota","27121","58132"
"Osceola, Iowa","19143","58125"
"Dickinson, Iowa","19059","58099"
"Bond, Illinois","17005","58097"
"Centre, Pennsylvania","42027","58055"
"Dare, North Carolina","37055","58012"
"Mercer, Illinois","17131","58011"
"Lancaster, Nebraska","31109","58009"
"Wells, North Dakota","38103","57989"
"Kankakee, Illinois","17091","57981"
"Meade, Kentucky","21163","57963"
"Martin, Florida","12085","57959"
"Warren, Missouri","29219","57948"
"Deuel, South Dakota","46039","57930"
"Ottawa, Ohio","39123","57918"
"Wyoming, New York","36121","57914"
"Lee, Illinois","17103","57901"
"Moore, North Carolina","37125","57899"
"Logan, Illinois","17107","57899"
"Madison, Illinois","17119","57890"
"Renville, Minnesota","27129","57886"
"McPherson, Kansas","20113","57765"
"Kidder, North Dakota","38043","57734"
"Brown, Minnesota","27015","57728"
"Waupaca, Wisconsin","55135","57680"
"Carroll, Iowa","19027","57674"
"Defiance, Ohio","39039","57665"
"Waller, Texas","48473","57654"
"Cooke, Texas","48097","57646"
"Stutsman, North Dakota","38093","57642"
"Snyder, Pennsylvania","42109","57638"
"Coconino, Arizona","4005","57616"
"Davie, North Carolina","37059","57611"
"Cole, Missouri","29051","57587"
"Wichita, Kansas","20203","57566"
"Hamilton, New York","36041","57552"
"Miami, Ohio","39109","57544"
"Carbon, Montana","30009","57538"
"Lonoke, Arkansas","5085","57509"
"Murray, Minnesota","27101","57500"
"Monroe, New York","36055","57479"
"Thomas, Kansas","20193","57478"
"Nelson, Kentucky","21179","57469"
"Holt, Nebraska","31089","57468"
"Pottawattamie, Iowa","19155","57467"
"Douglas, South Dakota","46043","57419"
"Stanislaus, California","6099","57387"
"Lipscomb, Texas","48295","57372"
"Portage, Wisconsin","55097","57368"
"Harding, South Dakota","46063","57365"
"Barrow, Georgia","13013","57348"
"Muscatine, Iowa","19139","57348"
"Broward, Florida","12011","57333"
"Ramsey, North Dakota","38071","57313"
"Chippewa, Wisconsin","55017","57288"
"Henry, Illinois","17073","57250"
"Phelps, Nebraska","31137","57241"
"Salem, Virginia","51775","57185"
"Montour, Pennsylvania","42093","57183"
"Polk, Minnesota","27119","57151"
"Buffalo, Wisconsin","55011","57134"
"Harrison, Indiana","18061","57132"
"Otter Tail, Minnesota","27111","57131"
"Winnebago, Wisconsin","55139","57124"
"Kittson, Minnesota","27069","57112"
"Oconto, Wisconsin","55083","57105"
"Champaign, Ohio","39021","57103"
"Jo Daviess, Illinois","17085","57083"
"Guthrie, Iowa","19077","57075"
"Barnes, North Dakota","38003","57064"
"Rockdale, Georgia","13247","57049"
"Christian, Missouri","29043","57019"
"Jackson, Minnesota","27063","57010"
"Spencer, Indiana","18147","56998"
"Lorain, Ohio","39093","56965"
"Sutter, California","6101","56955"
"Kearney, Nebraska","31099","56952"
"Buffalo, Nebraska","31019","56952"
"Yellow Medicine, Minnesota","27173","56943"
"Polk, Wisconsin","55095","56932"
"Comanche, Kansas","20033","56912"
"Woods, Oklahoma","40151","56899"
"Washington, Utah","49053","56877"
"Hamilton, Illinois","17065","56862"
"Dallas, Texas","48113","56854"
"Perkins, South Dakota","46105","56850"
"Johnston, North Carolina","37101","56842"
"Cache, Utah","49005","56840"
"Trego, Kansas","20195","56810"
"Clark, Nevada","32003","56802"
"Lincoln, Nebraska","31111","56794"
"Greenville, South Carolina","45045","56789"
"Dixon, Nebraska","31051","56775"
"Hettinger, North Dakota","38041","56761"
"Jersey, Illinois","17083","56747"
"Sauk, Wisconsin","55111","56732"
"Jessamine, Kentucky","21113","56728"
"Colusa, California","6011","56704"
"Berkshire, Massachusetts","25003","56674"
"Benzie, Michigan","26019","56639"
"Pierce, Nebraska","31139","56620"
"Portage, Ohio","39133","56618"
"Franklin, Idaho","16041","56613"
"Bonneville, Idaho","16019","56609"
"Wicomico, Maryland","24045","56608"
"Red Lake, Minnesota","27125","56588"
"Cayuga, New York","36011","56579"
"Sherman, Texas","48421","56576"
"Finney, Kansas","20055","56573"
"Rosebud, Montana","30087","56549"
"Cheyenne, Nebraska","31033","56538"
"Walla Walla, Washington","53071","56533"
"Colfax, Nebraska","31037","56528"
"Stevens, Kansas","20189","56507"
"Davidson, Tennessee","47037","56507"
"Tuolumne, California","6109","56493"
"Broadwater, Montana","30007","56469"
"Limestone, Alabama","1083","56460"
"Brown, South Dakota","46013","56455"
"Carroll, Indiana","18015","56429"
"Lincoln, Nevada","32017","56414"
"Box Butte, Nebraska","31013","56412"
"Camden, Georgia","13039","56397"
"Brookings, South Dakota","46011","56370"
"Lassen, California","6035","56362"
"Benton, Minnesota","27009","56357"
"Wayne, Ohio","39169","56348"
"Clay, Nebraska","31035","56316"
"Fayette, Texas","48149","56297"
"Ripley, Indiana","18137","56295"
"Effingham, Illinois","17049","56293"
"Grant, Oklahoma","40053","56287"
"Hamilton, Iowa","19079","56273"
"Dunn, Wisconsin","55033","56268"
"Wells, Indiana","18179","56265"
"Sullivan, New York","36105","56256"
"La Salle, Illinois","17099","56243"
"Washington, Texas","48477","56237"
"Burleson, Texas","48051","56235"
"Ste. Genevieve, Missouri","29186","56234"
"Livingston, Illinois","17105","56200"
"Essex, New York","36031","56196"
"Clay, Kansas","20027","56186"
"Appomattox, Virginia","51011","56176"
"Putnam, Indiana","18133","56169"
"Williamsburg, Virginia","51830","56163"
"Hillsborough, Florida","12057","56137"
"Chelan, Washington","53007","56135"
"Steuben, Indiana","18151","56101"
"Marion, Oregon","41047","56097"
"Golden Valley, North Dakota","38033","56087"
"Lincoln, Wisconsin","55069","56086"
"Loudon, Tennessee","47105","56078"
"Livingston, New York","36051","56071"
"Sheridan, Kansas","20179","56071"
"Harvey, Kansas","20079","56051"
"Manatee, Florida","12081","56036"
"Union, Pennsylvania","42119","56026"
"Kings, New York","36047","56015"
"Jones, Iowa","19105","56012"
"Morrow, Ohio","39117","56010"
"Kent, Maryland","24029","56009"
"Butler, Iowa","19023","55999"
"Johnson, Wyoming","56019","55991"
"Montgomery, Tennessee","47125","55972"
"Ida, Iowa","19093","55969"
"Baldwin, Alabama","1003","55962"
"Bureau, Illinois","17011","55940"
"Grant, Minnesota","27051","55912"
"Jackson, Kansas","20085","55904"
"Marshall, Illinois","17123","55901"
"Tama, Iowa","19171","55898"
"Scurry, Texas","48415","55889"
"Valley, Montana","30105","55882"
"Dinwiddie, Virginia","51053","55880"
"Trempealeau, Wisconsin","55121","55865"
"Blue Earth, Minnesota","27013","55861"
"Custer, Montana","30017","55841"
"Chase, Nebraska","31029","55833"
"Rock, Wisconsin","55105","55832"
"Douglas, Kansas","20045","55832"
"Beaver, Pennsylvania","42007","55828"
"Live Oak, Texas","48297","55766"
"Wayne, New York","36117","55765"
"Jasper, Iowa","19099","55727"
"Mason, Washington","53045","55726"
"Eau Claire, Wisconsin","55035","55711"
"Orange, Texas","48361","55700"
"Andrew, Missouri","29003","55683"
"Schleicher, Texas","48413","55677"
"Erie, New York","36029","55673"
"Hancock, Ohio","39063","55644"
"Victoria, Texas","48469","55631"
"Granville, North Carolina","37077","55628"
"Fillmore, Nebraska","31059","55625"
"Waseca, Minnesota","27161","55612"
"De Witt, Illinois","17039","55591"
"Meade, Kansas","20119","55568"
"Butler, Nebraska","31023","55562"
"Mitchell, Iowa","19131","55553"
"Pinal, Arizona","4021","55550"
"Ralls, Missouri","29173","55546"
"Rio Blanco, Colorado","8103","55543"
"Winona, Minnesota","27169","55529"
"Lyon, Minnesota","27083","55525"
"West Feliciana, Louisiana","22125","55510"
"Lyon, Nevada","32019","55493"
"Shelby, Iowa","19165","55489"
"Franklin, Kansas","20059","55486"
"Craig, Virginia","51045","55484"
"Woodbury, Iowa","19193","55483"
"La Crosse, Wisconsin","55063","55479"
"Tipton, Indiana","18159","55479"
"Custer, South Dakota","46033","55472"
"Hubbard, Minnesota","27057","55472"
"Calhoun, Texas","48057","55469"
"Bexar, Texas","48029","55456"
"Grant, Kansas","20067","55455"
"Bartow, Georgia","13015","55452"
"Summit, Ohio","39153","55448"
"Morrow, Oregon","41049","55440"
"Long, Georgia","13183","55439"
"Knox, Maine","23013","55402"
"Elkhart, Indiana","18039","55399"
"Chickasaw, Iowa","19037","55385"
"Turner, South Dakota","46125","55380"
"Callaway, Missouri","29027","55376"
"Preble, Ohio","39135","55374"
"Franklin, Missouri","29071","55312"
"Valley, Idaho","16085","55299"
"Atascosa, Texas","48013","55265"
"St. Clair, Michigan","26147","55240"
"Providence, Rhode Island","44007","55233"
"San Patricio, Texas","48409","55229"
"Sumter, Florida","12119","55228"
"Cheyenne, Colorado","8017","55227"
"Lancaster, South Carolina","45057","55223"
"Norman, Minnesota","27107","55206"
"Shawnee, Kansas","20177","55199"
"Kittitas, Washington","53037","55193"
"Cuming, Nebraska","31039","55190"
"Lincoln, Maine","23015","55180"
"Clinton, New York","36019","55178"
"Valley, Nebraska","31175","55170"
"Logan, Ohio","39091","55150"
"Knox, Ohio","39083","55131"
"Catoosa, Georgia","13047","55125"
"White, Indiana","18181","55086"
"Franklin, Kentucky","21073","55068"
"Nueces, Texas","48355","55048"
"Garza, Texas","48169","55039"
"Osage, Kansas","20139","55036"
"Noble, Indiana","18113","55033"
"Pennington, South Dakota","46103","55024"
"Dakota, Nebraska","31043","55017"
"Lee, Texas","48287","55000"
"Cameron, Louisiana","22023","55000"
"Grant, Washington","53025","54982"
"Gunnison, Colorado","8051","54979"
"Hamilton, Ohio","39061","54976"
"Sedgwick, Kansas","20173","54974"
"Rutland, Vermont","50021","54973"
"Perry, Missouri","29157","54964"
"Morrison, Minnesota","27097","54962"
"Sac, Iowa","19161","54958"
"Caroline, Maryland","24011","54956"
"Jasper, Illinois","17079","54951"
"Wilkin, Minnesota","27167","54935"
"Shenandoah, Virginia","51171","54921"
"Fayette, Kentucky","21067","54918"
"Sumner, Kansas","20191","54915"
"Chatham, Georgia","13051","54911"
"Sanborn, South Dakota","46111","54899"
"Hyde, South Dakota","46069","54891"
"St. Clair, Alabama","1115","54887"
"Adams, North Dakota","38001","54875"
"Hutchinson, South Dakota","46067","54868"
"Spokane, Washington","53063","54852"
"Wayne, Pennsylvania","42127","54851"
"Surry, Virginia","51181","54844"
"Otoe, Nebraska","31131","54828"
"Moniteau, Missouri","29135","54828"
"St. John the Baptist, Louisiana","22095","54821"
"Rockbridge, Virginia","51163","54805"
"Codington, South Dakota","46029","54774"
"Peoria, Illinois","17143","54770"
"Daniels, Montana","30019","54750"
"Hall, Nebraska","31079","54742"
"Shiawassee, Michigan","26155","54742"
"Lafayette, Louisiana","22055","54726"
"Irion, Texas","48235","54706"
"Seneca, New York","36099","54695"
"Yankton, South Dakota","46135","54694"
"Lee, Florida","12071","54691"
"Lafayette, Missouri","29107","54661"
"Cherokee, Iowa","19035","54658"
"Montgomery, Virginia","51121","54641"
"Decatur, Indiana","18031","54622"
"Southampton, Virginia","51175","54611"
"Chaffee, Colorado","8015","54580"
"Buena Vista, Iowa","19021","54556"
"Story, Iowa","19169","54554"
"Chippewa, Minnesota","27023","54552"
"Hampton, Virginia","51650","54550"
"King and Queen, Virginia","51097","54516"
"Crow Wing, Minnesota","27035","54508"
"Prince of Wales-Outer Ketchikan, Alaska","2201","54506"
"Cortland, New York","36023","54489"
"Jefferson, Washington","53031","54471"
"Kootenai, Idaho","16055","54457"
"Bon Homme, South Dakota","46009","54450"
"Knox, Tennessee","47093","54437"
"Kalamazoo, Michigan","26077","54431"
"Carteret, North Carolina","37031","54428"
"Walsh, North Dakota","38099","54414"
"Brunswick, North Carolina","37019","54406"
"Howard, Nebraska","31093","54399"
"Calhoun, Illinois","17013","54392"
"Grayson, Texas","48181","54370"
"Brevard, Florida","12009","54359"
"Jefferson, Kentucky","21111","54357"
"Yates, New York","36123","54343"
"Ionia, Michigan","26067","54343"
"Orange, Florida","12095","54335"
"Worth, Iowa","19195","54329"
"Sheridan, Montana","30091","54321"
"Fremont, Iowa","19071","54281"
"Westmoreland, Virginia","51193","54268"
"Bear Lake, Idaho","16007","54265"
"Maury, Tennessee","47119","54249"
"Lake, Indiana","18089","54249"
"Fremont, Wyoming","56013","54242"
"Clark, Indiana","18019","54240"
"Marshall, Indiana","18099","54229"
"Douglas, Illinois","17041","54218"
"Beaver, Utah","49001","54212"
"Bethel, Alaska","2050","54212"
"Robertson, Texas","48395","54201"
"Oneida, Wisconsin","55085","54198"
"Merrick, Nebraska","31121","54197"
"Madison, Virginia","51113","54197"
"Parmer, Texas","48369","54184"
"Bell, Texas","48027","54184"
"Nez Perce, Idaho","16069","54174"
"Anderson, Kentucky","21005","54160"
"Clark, Illinois","17023","54158"
"Nobles, Minnesota","27105","54149"
"Kossuth, Iowa","19109","54146"
"Shawano, Wisconsin","55115","54143"
"Blount, Tennessee","47009","54140"
"Greene, Pennsylvania","42059","54121"
"Major, Oklahoma","40093","54118"
"Washington, New York","36115","54114"
"Wahkiakum, Washington","53069","54085"
"Niagara, New York","36063","54085"
"Jackson, Iowa","19097","54070"
"Boone, Nebraska","31011","54063"
"Klickitat, Washington","53039","54056"
"Emmet, Michigan","26047","54055"
"Greene, Iowa","19073","54050"
"Monroe, Georgia","13207","54050"
"Boone, Missouri","29019","54043"
"Pratt, Kansas","20151","54029"
"Marshall, Iowa","19127","54027"
"Schoharie, New York","36095","53989"
"Scott, Illinois","17171","53973"
"Lenawee, Michigan","26091","53972"
"Louisa, Iowa","19115","53943"
"Boise, Idaho","16015","53942"
"Richland, South Carolina","45079","53922"
"Martin, Minnesota","27091","53915"
"Tulsa, Oklahoma","40143","53902"
"Faulk, South Dakota","46049","53889"
"Mille Lacs, Minnesota","27095","53888"
"Hardin, Iowa","19083","53872"
"Flagler, Florida","12035","53872"
"Kings, California","6031","53865"
"Hodgeman, Kansas","20083","53854"
"Oneida, New York","36065","53844"
"Whiteside, Illinois","17195","53828"
"DeKalb, Indiana","18033","53808"
"Bossier, Louisiana","22015","53806"
"Winchester, Virginia","51840","53797"
"Walton, Florida","12131","53785"
"DeWitt, Texas","48123","53779"
"Macoupin, Illinois","17117","53778"
"Dawson, Nebraska","31047","53769"
"Franklin, Iowa","19069","53742"
"Colonial Heights, Virginia","51570","53716"
"Towner, North Dakota","38095","53696"
"Cherry, Nebraska","31031","53684"
"Bandera, Texas","48019","53683"
"Mesa, Colorado","8077","53683"
"St. Clair, Illinois","17163","53681"
"Mower, Minnesota","27099","53665"
"Carbon, Pennsylvania","42025","53624"
"Greene, New York","36039","53617"
"Montgomery, Indiana","18107","53610"
"Crawford, Iowa","19047","53609"
"Potter, South Dakota","46107","53600"
"Oswego, New York","36075","53597"
"Cass, Michigan","26027","53571"
"Haskell, Kansas","20081","53527"
"Poweshiek, Iowa","19157","53520"
"Smith, Texas","48423","53511"
"Manitowoc, Wisconsin","55071","53489"
"Duval, Florida","12031","53473"
"Wood, Wisconsin","55141","53473"
"Gasconade, Missouri","29073","53439"
"Big Horn, Wyoming","56003","53435"
"Washakie, Wyoming","56043","53426"
"Hampden, Massachusetts","25013","53403"
"Allen, Indiana","18003","53402"
"Cumberland, Illinois","17035","53376"
"Cottonwood, Minnesota","27033","53354"
"St. Louis, Minnesota","27137","53344"
"Lincoln, North Carolina","37109","53318"
"Fremont, Idaho","16043","53311"
"Newton, Georgia","13217","53309"
"Kanabec, Minnesota","27065","53300"
"Chemung, New York","36015","53299"
"Plumas, California","6063","53270"
"Lyman, South Dakota","46085","53263"
"Green Lake, Wisconsin","55047","53260"
"Noble, Oklahoma","40103","53253"
"Redwood, Minnesota","27127","53230"
"Charlevoix, Michigan","26029","53207"
"Jeff Davis, Texas","48243","53194"
"Franklin, North Carolina","37069","53175"
"Hardin, Kentucky","21093","53168"
"Somervell, Texas","48425","53162"
"Coffee, Alabama","1031","53155"
"Jones, Georgia","13169","53155"
"Newton, Indiana","18111","53146"
"Pepin, Wisconsin","55091","53140"
"Loup, Nebraska","31115","53125"
"Otsego, New York","36077","53121"
"Dodge, Nebraska","31053","53101"
"Lafourche, Louisiana","22057","53089"
"Ford, Kansas","20057","53072"
"Hancock, Maine","23009","53068"
"Susquehanna, Pennsylvania","42115","53059"
"Johnson, Missouri","29101","53056"
"O'Brien, Iowa","19141","53045"
"Bennington, Vermont","50003","53040"
"Hamilton, Tennessee","47065","53035"
"Itasca, Minnesota","27061","53022"
"Lavaca, Texas","48285","53021"
"Clay, Indiana","18021","53021"
"Sevier, Utah","49041","53020"
"Gonzales, Texas","48177","53006"
"Pender, North Carolina","37141","52989"
"Jackson, Wisconsin","55053","52984"
"Flathead, Montana","30029","52966"
"Grant, Wisconsin","55043","52958"
"Mahaska, Iowa","19123","52950"
"Franklin, Texas","48159","52944"
"Wyandot, Ohio","39175","52940"
"Clark, Kentucky","21049","52938"
"Kennebec, Maine","23011","52929"
"Bayfield, Wisconsin","55007","52910"
"Cerro Gordo, Iowa","19033","52902"
"Madera, California","6039","52884"
"Inyo, California","6027","52874"
"Todd, Minnesota","27153","52872"
"Weston, Wyoming","56045","52867"
"Trousdale, Tennessee","47169","52864"
"Madison, Nebraska","31119","52857"
"Oklahoma, Oklahoma","40109","52855"
"Sherman, Kansas","20181","52847"
"Clayton, Iowa","19043","52828"
"Henderson, North Carolina","37089","52815"
"Moffat, Colorado","8081","52807"
"Russell, Kansas","20167","52806"
"Jackson, Missouri","29095","52805"
"Griggs, North Dakota","38039","52794"
"Johnson, Nebraska","31097","52794"
"Juniata, Pennsylvania","42067","52765"
"Van Wert, Ohio","39161","52754"
"Winnebago, Illinois","17201","52743"
"Howard, Iowa","19089","52742"
"Ashland, Ohio","39005","52730"
"Spink, South Dakota","46115","52729"
"East Baton Rouge, Louisiana","22033","52719"
"New Hanover, North Carolina","37129","52716"
"Henderson, Illinois","17071","52712"
"Ellis, Oklahoma","40045","52705"
"Ellis, Kansas","20051","52700"
"Darke, Ohio","39037","52691"
"Black Hawk, Iowa","19013","52688"
"Essex, Virginia","51057","52681"
"Windham, Vermont","50025","52659"
"Otsego, Michigan","26137","52645"
"Franklin, Virginia","51067","52639"
"Pulaski, Virginia","51155","52638"
"Rock Island, Illinois","17161","52630"
"Yuba, California","6115","52624"
"Gibson, Indiana","18051","52620"
"Pendleton, Kentucky","21191","52620"
"Rock, Nebraska","31149","52604"
"Cumberland, New Jersey","34011","52593"
"Antrim, Michigan","26009","52589"
"Clatsop, Oregon","41007","52583"
"Jefferson, Louisiana","22051","52558"
"Pike, Indiana","18125","52527"
"Garfield, Washington","53023","52525"
"Washita, Oklahoma","40149","52510"
"Worth, Missouri","29227","52500"
"Campbell, South Dakota","46021","52500"
"Clinton, Indiana","18023","52488"
"Douglas, Wisconsin","55031","52480"
"Kern, California","6029","52479"
"Giles, Virginia","51071","52478"
"Kerr, Texas","48265","52473"
"Palo Alto, Iowa","19147","52462"
"Powder River, Montana","30075","52457"
"Freeborn, Minnesota","27047","52447"
"Hand, South Dakota","46059","52438"
"Henry, Iowa","19087","52428"
"Christian, Illinois","17021","52415"
"Lycoming, Pennsylvania","42081","52407"
"Carroll, Ohio","39019","52394"
"Plaquemines, Louisiana","22075","52386"
"Lewis, New York","36049","52380"
"Brown, Ohio","39015","52356"
"Van Buren, Michigan","26159","52351"
"Garfield, Utah","49017","52337"
"Indian River, Florida","12061","52336"
"Rusk, Texas","48401","52329"
"Pipestone, Minnesota","27117","52309"
"Lincoln, Minnesota","27081","52301"
"Moore, Tennessee","47127","52294"
"Faribault, Minnesota","27043","52286"
"Pecos, Texas","48371","52282"
"Trigg, Kentucky","21221","52279"
"Caldwell, Texas","48055","52278"
"Cook, Minnesota","27031","52271"
"Erie, Ohio","39043","52270"
"Jefferson, New York","36045","52268"
"Stark, Illinois","17175","52260"
"Upton, Texas","48461","52257"
"Karnes, Texas","48255","52252"
"Lawrence, South Dakota","46081","52245"
"Comanche, Oklahoma","40031","52227"
"Tuscaloosa, Alabama","1125","52221"
"Humboldt, Iowa","19091","52219"
"Huntington, Indiana","18069","52208"
"Gates, North Carolina","37073","52205"
"Lac qui Parle, Minnesota","27073","52199"
"Stark, Ohio","39151","52190"
"Hinsdale, Colorado","8053","52188"
"Llano, Texas","48299","52178"
"Dorchester, Maryland","24019","52145"
"Walworth, South Dakota","46129","52123"
"Randolph, Illinois","17157","52107"
"Washington, Oklahoma","40147","52103"
"Linn, Oregon","41043","52097"
"Lawrence, Indiana","18093","52092"
"Camden, Missouri","29029","52087"
"Wheeler, Nebraska","31183","52083"
"Emery, Utah","49015","52055"
"Carson City, Nevada","32510","52034"
"Hancock, Kentucky","21091","52019"
"Love, Oklahoma","40085","52007"
"Warren, Kentucky","21227","52007"
"Ringgold, Iowa","19159","52005"
"Cass, Illinois","17017","51997"
"Beaver, Oklahoma","40007","51996"
"Jefferson, Alabama","1073","51979"
"Ottawa, Kansas","20143","51971"
"Blaine, Idaho","16013","51968"
"Grand Forks, North Dakota","38035","51951"
"Van Zandt, Texas","48467","51935"
"Paulding, Ohio","39125","51933"
"Faulkner, Arkansas","5045","51930"
"Hunt, Texas","48231","51928"
"Nemaha, Nebraska","31127","51922"
"Big Stone, Minnesota","27011","51920"
"Grant, Arkansas","5053","51920"
"Middlesex, Virginia","51119","51917"
"Umatilla, Oregon","41059","51887"
"Newport News, Virginia","51700","51884"
"Lake, Florida","12069","51884"
"Hopkins, Texas","48223","51877"
"Hot Springs, Wyoming","56017","51875"
"Clark, Wisconsin","55019","51872"
"Herkimer, New York","36043","51862"
"Teton, Montana","30099","51862"
"Adair, Iowa","19001","51859"
"Frontier, Nebraska","31063","51855"
"Tippecanoe, Indiana","18157","51844"
"Orleans, New York","36073","51843"
"Deaf Smith, Texas","48117","51841"
"Bay, Florida","12005","51829"
"Iroquois, Illinois","17075","51825"
"La Salle, Texas","48283","51792"
"Steuben, New York","36101","51789"
"Montague, Texas","48337","51774"
"Cowlitz, Washington","53015","51752"
"Sequatchie, Tennessee","47153","51750"
"Dawes, Nebraska","31045","51748"
"Cape Girardeau, Missouri","29031","51730"
"Sanpete, Utah","49039","51720"
"Lane, Kansas","20101","51719"
"Adams, Indiana","18001","51713"
"Sandusky, Ohio","39143","51701"
"Madison, Georgia","13195","51701"
"Beadle, South Dakota","46005","51700"
"Jack, Texas","48237","51700"
"Taylor, Wisconsin","55119","51698"
"Franklin, New York","36033","51696"
"Champaign, Illinois","17019","51692"
"Tom Green, Texas","48451","51675"
"Pulaski, Missouri","29169","51665"
"Gage, Nebraska","31067","51662"
"Luzerne, Pennsylvania","42079","51646"
"Bernalillo, New Mexico","35001","51643"
"Harnett, North Carolina","37085","51630"
"Morgan, Colorado","8087","51626"
"Cotton, Oklahoma","40033","51623"
"Logan, Nebraska","31113","51607"
"Logan, Kansas","20109","51597"
"Clarke, Iowa","19039","51571"
"Panola, Texas","48365","51569"
"Waldo, Maine","23027","51564"
"Eddy, North Dakota","38027","51563"
"Huron, Ohio","39077","51559"
"Hancock, Illinois","17067","51549"
"Adams, Nebraska","31001","51536"
"Howard, Texas","48227","51528"
"Moore, Texas","48341","51527"
"Churchill, Nevada","32001","51514"
"Murray, Oklahoma","40099","51490"
"Burt, Nebraska","31021","51482"
"Schuyler, New York","36097","51479"
"Bourbon, Kentucky","21017","51462"
"Bradford, Pennsylvania","42015","51457"
"Pinellas, Florida","12103","51454"
"Henry, Kentucky","21103","51447"
"Coryell, Texas","48099","51440"
"Wabash, Illinois","17185","51432"
"Jackson, Michigan","26075","51431"
"Androscoggin, Maine","23001","51412"
"Adams, Illinois","17001","51398"
"Miner, South Dakota","46097","51394"
"Clinton, Ohio","39027","51354"
"Graham, Arizona","4009","51352"
"Kiowa, Kansas","20097","51336"
"Richland, Wisconsin","55103","51335"
"Garfield, Oklahoma","40047","51332"
"Kearny, Kansas","20093","51314"
"Bingham, Idaho","16011","51288"
"Missoula, Montana","30063","51270"
"Marion, Kansas","20115","51262"
"Fresno, California","6019","51261"
"Fulton, Pennsylvania","42057","51259"
"Greeley, Kansas","20071","51250"
"Dallam, Texas","48111","51250"
"Putnam, Georgia","13237","51245"
"Carroll, Illinois","17015","51228"
"Martin, Indiana","18101","51224"
"Harrison, Texas","48203","51202"
"Leon, Florida","12073","51201"
"Mariposa, California","6043","51199"
"Waushara, Wisconsin","55137","51195"
"Clay, Texas","48077","51191"
"Sherman, Nebraska","31163","51172"
"Tuscarawas, Ohio","39157","51170"
"Catawba, North Carolina","37035","51157"
"Shelby, Illinois","17173","51157"
"Crockett, Texas","48105","51152"
"Saline, Nebraska","31151","51143"
"Jackson, Mississippi","28059","51142"
"Ford, Illinois","17053","51120"
"Jefferson, Indiana","18077","51119"
"Elk, Pennsylvania","42047","51112"
"Columbia, Washington","53013","51111"
"Edgar, Illinois","17045","51109"
"LaPorte, Indiana","18091","51101"
"Watonwan, Minnesota","27165","51097"
"Guilford, North Carolina","37081","51072"
"Perry, Indiana","18123","51064"
"Oneida, Idaho","16071","51058"
"Allamakee, Iowa","19005","51057"
"Juneau, Wisconsin","55057","51056"
"Tate, Mississippi","28137","51056"
"Kit Carson, Colorado","8063","51046"
"Keokuk, Iowa","19107","51043"
"Pima, Arizona","4019","51037"
"Ness, Kansas","20135","51033"
"Daviess, Indiana","18027","51032"
"Emmons, North Dakota","38029","51029"
"Tripp, South Dakota","46123","51027"
"Winnebago, Iowa","19189","51002"
"Wasco, Oregon","41065","50973"
"Grant, North Dakota","38037","50962"
"Ingham, Michigan","26065","50940"
"St. Joseph, Indiana","18141","50938"
"Johnson, Illinois","17087","50923"
"Cassia, Idaho","16031","50918"
"Upshur, Texas","48459","50906"
"Vernon, Wisconsin","55123","50905"
"Shasta, California","6089","50905"
"Barron, Wisconsin","55005","50903"
"Bosque, Texas","48035","50882"
"Lackawanna, Pennsylvania","42069","50875"
"Blaine, Nebraska","31009","50870"
"Craven, North Carolina","37049","50870"
"Howard, Indiana","18067","50869"
"Broome, New York","36007","50859"
"Jackson, Oregon","41029","50851"
"Pershing, Nevada","32027","50846"
"Brule, South Dakota","46015","50839"
"Fall River, South Dakota","46047","50837"
"Taylor, Texas","48441","50818"
"Calhoun, Iowa","19025","50800"
"Washington, Kentucky","21229","50794"
"Twin Falls, Idaho","16083","50778"
"Marquette, Michigan","26103","50771"
"Rice, Kansas","20159","50764"
"Fannin, Texas","48147","50761"
"Archuleta, Colorado","8007","50753"
"Lincoln, Washington","53043","50744"
"Lancaster, Virginia","51103","50739"
"McIntosh, North Dakota","38051","50739"
"Beauregard, Louisiana","22011","50738"
"Thayer, Nebraska","31169","50734"
"Marshall, Kentucky","21157","50731"
"Boyd, Nebraska","31015","50729"
"Phillips, Colorado","8095","50724"
"Vermilion, Louisiana","22113","50690"
"Thomas, Nebraska","31171","50682"
"Glynn, Georgia","13127","50672"
"Buncombe, North Carolina","37021","50668"
"Tioga, Pennsylvania","42117","50667"
"Minidoka, Idaho","16067","50663"
"Morgan, West Virginia","54065","50661"
"St. James, Louisiana","22093","50661"
"Hutchinson, Texas","48233","50651"
"Wabash, Indiana","18169","50637"
"Barber, Kansas","20007","50613"
"Chenango, New York","36017","50595"
"San Juan, New Mexico","35045","50582"
"Allen, Ohio","39003","50552"
"Dickson, Tennessee","47043","50549"
"Branch, Michigan","26023","50536"
"Rush, Indiana","18139","50535"
"Saline, Kansas","20169","50515"
"Rooks, Kansas","20163","50511"
"Bland, Virginia","51021","50511"
"Roberts, South Dakota","46109","50495"
